Core_Section,Unit,Diatom.zone,depth_cm,min_calibrated_age_BP,max_calibrated_age_BP,median_calibrated_age_BP,mean_calibrated_age_BP,Planothidium_quadripunctatum,Planothidium_frequentisima?,Cavinula_pseudoscutformis,Pinnularia_cf._divergens_var._linearis,Gomphonema_sp_2,Gomphonema_sp3,Psammothidium_abundans_,Achnanthes_exigua_,Hippodona_hungaric,Staurosirella_pinnata_,Achnanthes_muelleri,Fragilaria_capucina,Brachysira_minor,Achnanthidium_minutissimum,Diatomella_balfouriana,avicula_cf._obsoleta?,Diatom_cyst_Stauro_circula,Planothidium_delicatulum,Nitzchia_paleacea
Kite_2.1,9_1,5.1,6,-6.88,-1.61,-4.91,-4.74,1.0713,1.5617,1.0713,0.9657,1.0713,0,5.1108,0.7576,1.4173,4.6545,1.8165,1.5845,1.1978,2.705,0,0.9278,0,1.0021,1.9127
Kite_2.1,9_2,5.2,7,153.86,283.71,228.03,224.66,1.6535,1.9911,1.2263,0.6918,1.1092,0,5.1232,0.6404,1.432,4.1667,2.0586,1.0458,2.6179,2.309,0.7395,0.3697,1.0455,0.7395,0.5229
Kite_2.1,9_3,5.3,8,312.2,571.92,460.84,454.06,1.6882,1.5441,1.2418,0.3745,1.1843,0,5.945,0,0.8374,4.0335,1.2973,1.8155,0.749,3.8192,0.749,1.2973,0,1.2973,1.4504
Kite_2.1,9_4,5.4,9,470.77,859.59,693.57,683.46,2.113,1.8119,1.6206,0.3624,1.2021,0,5.7981,1.0249,0.5124,4.9687,1.4495,1.2021,3.1592,1.3066,0.5124,0.8102,0.7247,1.3065,1.2562
Kite_2.1,9_5,5.5,10,618.31,885.87,742.97,744.36,2.9625,1.3148,1.3644,0.9986,0.9648,0,5.0462,0.8932,1.1238,4.9127,1.7104,1.2366,0.7293,2.9795,0.9297,1.2632,0,1.3148,1.4123
Kite_2.1,T1a,5.6,12,672.3,903.93,768.04,774.8,2.1373,1.5516,1.6101,0.5555,1.5713,0,4.792,1.2423,1.0541,5.3805,1.9245,1.0657,2.0184,1.8592,0.962,1.2172,0,1.2669,1.2172
Kite_2.1,8_1,4.1,13,722.47,978.1,820.25,829.61,2.0329,2.3369,1.802,1.1201,1.1526,0,4.4639,1.7181,1.0867,5.1113,1.0866,1.0165,2.0329,2.1391,2.1029,0.5433,1.2149,0.6654,1.0866
Kite_2.1,8_2,4.2,14,760.67,1070.09,873.3,884.94,2.0736,2.1355,1.5734,1.1125,0.7219,0,4.2503,0.5062,1.4316,4.7418,2.1175,0.9803,1.7535,1.9605,0,1.5806,0.6094,1.8467,0.7159
Kite_2.1,8_3,4.3,15,787.89,1133.04,921.23,931.92,1.3033,2.0607,2.1937,0.532,1.3033,0,4.2731,0.9593,1.5512,4.8764,0.7524,1.0641,2.6868,2.8015,0.8412,1.8431,0.7524,2.1937,1.7646
Kite_2.1,8_4,4.4,16,807.68,1205.16,967.06,978.89,1.3217,2.2409,1.9825,0.9727,0,0,3.9095,1.663,1.4018,6.0861,1.663,0.5395,2.1242,1.9076,0.8531,1.5261,0.763,1.573,1.0791
Kite_2.1,8_5,4.5,17,835.59,1289.29,1013.53,1026.4,0.538,2.1856,2.1853,1.1413,1.4516,0,3.4865,1.6582,1.3178,6.5005,1.4947,0.7475,1.7841,1.8637,1.076,1.3159,0.7608,1.52,0.6589
Kite_2.1,8_6,4.6,18,869.36,1355.92,1063.59,1074.71,0.9444,1.7423,3.1039,1.6042,0.8899,0,3.5872,1.3891,1.5835,5.9027,1.6042,0,1.4979,1.4979,1.7423,1.0275,0.3633,1.2585,0.7266
Kite_2.1,7_1,4.7,19,894.58,1429.55,1115.95,1123.01,1.1896,1.724,3.1477,0.9953,0.8413,0,4.3061,1.3033,1.5962,5.8767,1.4933,0.8413,1.8431,1.4571,1.0641,1.1896,0.5321,1.5015,1.3003
Kite_2.1,7_2,4.8,20,920.82,1517.66,1157.36,1170.37,2.8381,1.3395,1.9659,1.1451,0,0,4.5954,0.983,1.1077,4.1281,1.3816,1.8089,1.0444,2.7877,0.743,1.0444,0,1.4815,1.3816
Kite_2.1,6_1,4.9,21,959.48,1581.26,1198.43,1216.3,1.525,1.4601,1.3921,0.6225,0.8804,0,4.782,0,0.8804,3.6034,0.6225,1.4599,2.0647,3.4663,0.8804,1.1647,1.4952,1.46,1.6471
Kite_2.1,6_2,3.1,22,985.68,1653.16,1244.84,1262.24,1.3005,2.433,1.9508,0.8395,1.4046,0,3.7165,0.7508,2.6811,3.8286,2.0871,2.834,2.4038,2.0563,1.1263,1.3536,0.3754,1.5017,1.9143
