depth_cm,unit,min_Sh20_age_BP,max_Sh20_age_BP,median_Sh20_age_BP,mean_Sh20_age_BP,Si_pc_TSN,K_pc_TSN,Ca_pc_TSN,Ti_pc_TSN,Mn_pc_TSN,Fe_pc_TSN,Zn_pc_TSN,Br_pc_TSN,Rb_pc_TSN,Sr_pc_TSN,Zr_pc_TSN,Mo_inc_pc_TSN,Mo_coh_pc_TSN,SUM_pc_TSN,Mo_inc_coh_ratio
5,9,-7.15,-3.11,-5.38,-5.32,0.09,0.152,2.195,1.414,1.05,65.267,0.186,0.107,0.19,2.427,0.371,18.735,5.388,97.569,3.477208425
5.02,9,-7.14,-3.1,-5.37,-5.31,0.05,0.13,2.452,1.481,1.202,67.784,0.166,0.099,0,2.089,0.524,16.957,5.148,98.087,3.29393155
5.04,9,-7.13,-3.09,-5.36,-5.3,0.09,0.158,2.549,1.533,1.41,68.531,0.135,0.086,0.124,1.773,0.588,16.503,4.869,,3.389606488
5.06,9,-7.13,-3.09,-5.35,-5.29,0.06,0.095,2.338,1.469,1.576,69.451,0.1,0.044,0.122,1.796,0.506,15.819,4.639,98.021,3.409724281
5.08,9,-7.12,-3.08,-5.34,-5.28,0.06,0.119,2.35,1.479,1.469,70.219,0.101,0.106,0.04,1.926,0.472,15.59,4.387,98.321,3.553504471
5.1,9,-7.12,-3.06,-5.34,-5.27,0.09,0.151,2.523,1.529,1.572,69.772,0.104,0.104,0.169,1.881,0.475,15.209,4.47,98.051,3.40273896
5.12,9,-7.11,-3.04,-5.33,-5.26,0.13,0.133,2.526,1.489,1.658,69.499,0.086,0.187,0.19,1.814,0.615,15.299,4.258,97.887,3.593190998
5.14,9,-7.1,-3.03,-5.32,-5.25,0.09,0.132,2.561,1.446,1.81,70.565,0.108,0,0,1.767,0.486,14.95,4.459,98.37,3.352627142
5.16,9,-7.09,-3,-5.31,-5.23,0.09,0.149,2.445,1.562,2.035,70.261,0.114,0.182,0,1.912,0.393,15.001,4.297,98.437,3.491284137
5.18,9,-7.09,-2.98,-5.3,-5.22,0.11,0.107,2.158,1.399,1.959,69.669,0.098,0.131,0,1.855,0.484,15.626,4.497,98.095,3.475028377
5.2,9,-7.09,-2.96,-5.28,-5.21,0.08,0.124,2.394,1.341,1.709,69.139,0.109,0.149,0.086,1.809,0.579,15.949,4.745,98.209,3.360863698
5.22,9,-7.08,-2.91,-5.28,-5.2,0.1,0.136,2.45,1.507,1.758,72.103,0.057,0.081,0,1.636,0.539,13.705,4.118,98.191,3.328091684
5.24,9,-7.08,-2.89,-5.26,-5.19,0.11,0.153,2.485,1.548,1.763,73.719,0.057,0.124,0.029,1.525,0.409,12.851,3.598,98.371,3.572207867
