"","ID","LongID","SiO2_n","TiO2_n","Al2O3_n","FeO_n","MnO_n","MgO_n","CaO_n","Na2O_n","K2O_n","Total_n","Type","Group","Eruption_ID","Volcano"
"1","SAM-1","SAM-1_A1-1_A1_Aguillera",8.7068938204161,0.458257569495584,3.76164857476081,1.04403065089106,0.173205080756888,0.435889894354067,1.10905365064094,1.76635217326557,2.04205778566621,100,"Acid","SAM","A1","Aguillera"
"2","SAM-2","SAM-2_A1-2_A1_Aguillera",8.69137503505631,0.435889894354067,3.79605057922046,1.05356537528527,0.173205080756888,0.424264068711929,1.09087121146357,1.8,2.02731349327133,100,"Acid","SAM","A1","Aguillera"
"3","SAM-3","SAM-3_A1-3_A1_Aguillera",8.80107947924571,0.378153408023781,3.54415010968779,0.996995486449161,0.17606816861659,0.417133072292284,1.0373041983912,1.85822495947073,2.02706684645574,100,"Acid","SAM","A1","Aguillera"
"4","SAM-4","SAM-4_A1-4_A1_Aguillera",8.68389313614579,0.411096095821889,3.80171014150211,1.02664502141685,0.2,0.423083916026124,1.07424392015966,1.82811378201686,2.04890214505232,100,"Acid","SAM","A1","Aguillera"
"5","SAM-5","SAM-5_A1-5_A1_Aguillera",8.75499857224432,0.510881590977792,3.58817502360183,0.99196774141098,0.1,0.347850542618522,1.10679718105893,1.90945018264421,2.05621010599598,100,"Acid","SAM","A1","Aguillera"
"6","SAM-6","SAM-6_MB2-1_MB2_Burney",8.72410453857587,0.458257569495584,3.79077828420497,1.24498995979887,0.2,0.556776436283002,1.42828568570857,1.94422220952236,1.26095202129185,100,"Acid","SAM","MB2","Burney"
"7","SAM-7","SAM-7_MB2-2_MB2_Burney",8.72628214075158,0.556776436283002,3.82321853939845,1.19624412224261,0.2,0.556776436283002,1.40392307481571,1.93958758502935,1.18785521003193,100,"Acid","SAM","MB2","Burney"
"8","SAM-8","SAM-8_MB2-3_MB2_Burney",8.70287308881383,0.519615242270663,3.83275357934736,1.29228479833201,0.2,0.608276253029822,1.4247806848775,1.9157244060668,1.2328828005938,100,"Acid","SAM","MB2","Burney"
"9","SAM-9","SAM-9_MB2-4_MB2_Burney",8.73183829442575,0.58309518948453,3.69283089241844,1.20415945787923,0.2,0.53851648071345,1.52315462117278,2.0418129199317,1.22882057274445,100,"Acid","SAM","MB2","Burney"
"10","SAM-10","SAM-10_MB2-5_MB2_Burney",8.67698104181403,0.640312423743285,3.83666521865018,1.25299640861417,0.2,0.648074069840786,1.51327459504216,1.99248588451713,1.13578166916005,100,"Acid","SAM","MB2","Burney"
"11","SAM-11","SAM-11_So-A-1_So_UK_Solipuli",8.58219086247795,0.510881590977792,3.76178149285681,1.34350288425444,0.214476105895272,0.474341649025257,1.0373041983912,2.15151109688052,2.03789106676486,100,"Acid","SAM","So_UK","Solipuli"
"12","SAM-12","SAM-12_So-A-2_So_UK_Solipuli",8.59558025964507,0.505964425626941,3.75326524508993,1.30345694213503,0.202484567313166,0.446094160463909,1.02664502141685,2.15081379947219,2.03789106676486,100,"Acid","SAM","So_UK","Solipuli"
"13","SAM-13","SAM-13_So-A-3_So_UK_Solipuli",8.60296460529741,0.510881590977792,3.74339418175538,1.30537350976646,0.214476105895272,0.454972526643093,0.989444288477123,2.14056067421599,2.04865809738961,100,"Acid","SAM","So_UK","Solipuli"
"14","SAM-14","SAM-14_So-A-4_So_UK_Solipuli",8.56463659474236,0.519615242270663,3.77597669484334,1.30230564768798,0.277488738510232,0.491934955049954,1.04355162785557,2.183804020511,2.06058244193238,100,"Acid","SAM","So_UK","Solipuli"
"15","SAM-15","SAM-15_So-A-5_So_UK_Solipuli",8.5740888728774,0.488876262463213,3.75126645281297,1.35646599662505,0.212132034355964,0.447213595499958,1.02225241501304,2.2113344387496,2.03813640367862,100,"Acid","SAM","So_UK","Solipuli"
"16","SAM-16","SAM-16_So-A-6_So_UK_Solipuli",8.56399439514062,0.472228758124704,3.75925524539103,1.35793961574144,0.154919333848297,0.49598387070549,1.05261578935526,2.20408711261601,2.05499391726594,100,"Acid","SAM","So_UK","Solipuli"
"17","SAM-17","SAM-17_So-A-7_So_UK_Solipuli",8.56615432968611,0.530094331227943,3.74593112590181,1.3751363568752,0.268328157299975,0.441588043316392,1.03247275993122,2.21855809029198,2.04009803685999,100,"Acid","SAM","So_UK","Solipuli"
"18","SAM-18","SAM-18_So-A-8_So_UK_Solipuli",8.57543001837226,0.523450093132096,3.7584571302597,1.35166563912826,0.304959013639538,0.472228758124704,1.05877287460531,2.15499419952816,2.03813640367862,100,"Acid","SAM","So_UK","Solipuli"
"19","SAM-19","SAM-19_So-A-9_So_UK_Solipuli",8.57344738130468,0.49598387070549,3.73818137601695,1.36857590216984,0.228035085019828,0.439317652729776,1.04211323760904,2.21855809029198,2.03740030430939,100,"Acid","SAM","So_UK","Solipuli"
"20","SAM-20","SAM-20_So-A-10_So_UK_Solipuli",8.55926398704935,0.501996015920445,3.76271178805924,1.36381816969859,0.238746727726266,0.478539444560216,1.00945529866359,2.28188518554287,1.98922095303664,100,"Acid","SAM","So_UK","Solipuli"
"21","SAM-21","SAM-21_So-A-11_So_UK_Solipuli",8.58154997654853,0.558569601750758,3.77610910859313,1.28996123972777,0.0836660026534076,0.474341649025257,1.05688220724923,2.13798970998459,2.04987804515293,100,"Acid","SAM","So_UK","Solipuli"
"22","SAM-22","SAM-22_So-A-12_So_UK_Solipuli",8.57018086156879,0.509901951359279,3.76921742540809,1.31339255365637,0.212132034355964,0.46475800154489,1.02518291050914,2.25277606521376,1.99348940303178,100,"Acid","SAM","So_UK","Solipuli"
"23","SAM-23","SAM-23_So-A-13_So_UK_Solipuli",8.64985549012236,0.434741302385683,3.79262442116274,1.33529023062404,0,0.46475800154489,1.05403984744411,1.83956516601071,2.02854627751008,100,"Acid","SAM","So_UK","Solipuli"
"24","SAM-24","SAM-24_So-A-14_So_UK_Solipuli",8.66233224945799,0.504975246918104,3.78325256888831,1.36051460852135,0.254950975679639,0.472228758124704,1.03392456204503,1.68107108713463,2.08854016001608,100,"Acid","SAM","So_UK","Solipuli"
