depth	min	max	median	mean
3	349.41	503.31	412.12	413.85
5	619.21	876.1	724.1	727.09
7	875.65	1053.08	960	960.6
9	1094.54	1282.72	1199.5	1194.12
13	2012.48	2269.55	2150.74	2149.92
15	2485.16	2895.05	2708.42	2709.28
17	2890.41	3176.44	3041.46	3039.78
19	3249.45	3541.21	3362.38	3370.27
21	3544.84	3828.07	3656.2	3664.29
23	3784.69	4076.3	3919.58	3921.83
25	3965.08	4448.46	4178.68	4179.37
27	4164.54	4520.61	4334.31	4335.56
29	4282.56	4678.45	4493.76	4491.74
31	4494.97	4816.59	4653.57	4658.3
33	4656.06	5002.71	4842.29	4835.24
35	4706.93	5384.1	4994.86	5012.18
37	4948.8	5431.21	5167.2	5174.49
39	5131.64	5503.07	5350.54	5336.81
40	5197.91	5579.23	5443.92	5417.97
40.00002	5197.91	5579.23	5443.92	5417.97
41	5197.91	5579.23	5443.92	5417.97
43	5197.91	5579.23	5443.92	5417.97
45	5197.91	5579.23	5443.92	5417.97
47	5197.91	5579.23	5443.92	5417.97
49	5197.91	5579.23	5443.92	5417.97
51	5197.91	5579.23	5443.92	5417.97
53	5197.91	5579.23	5443.92	5417.97
55	5197.91	5579.23	5443.92	5417.97
59	5197.91	5579.23	5443.92	5417.97
61	5197.91	5579.23	5443.92	5417.97
63	5197.91	5579.23	5443.92	5417.97
65	5197.91	5579.23	5443.92	5417.97
67	5197.91	5579.23	5443.92	5417.97
69	5197.91	5579.23	5443.92	5417.97
71	5197.91	5579.23	5443.92	5417.97
73	5197.91	5579.23	5443.92	5417.97
75	5197.91	5579.23	5443.92	5417.97
77	5197.91	5579.23	5443.92	5417.97
79	5197.91	5579.23	5443.92	5417.97
81	5197.91	5579.23	5443.92	5417.97
83	5197.91	5579.23	5443.92	5417.97
85	5197.91	5579.23	5443.92	5417.97
87	5197.91	5579.23	5443.92	5417.97
89	5197.91	5579.23	5443.92	5417.97
91	5197.91	5579.23	5443.92	5417.97
93	5197.91	5579.23	5443.92	5417.97
95	5197.91	5579.23	5443.92	5417.97
97	5197.91	5579.23	5443.92	5417.97
99	5197.91	5579.23	5443.92	5417.97
101	5197.91	5579.23	5443.92	5417.97
103	5197.91	5579.23	5443.92	5417.97
105	5197.91	5579.23	5443.92	5417.97
107	5197.91	5579.23	5443.92	5417.97
109	5197.91	5579.23	5443.92	5417.97
111	5197.91	5579.23	5443.92	5417.97
113	5197.91	5579.23	5443.92	5417.97
115	5197.91	5579.23	5443.92	5417.97
117	5197.91	5579.23	5443.92	5417.97
119	5197.91	5579.23	5443.92	5417.97
121	5197.91	5579.23	5443.92	5417.97
123	5197.91	5579.23	5443.92	5417.97
125	5197.91	5579.23	5443.92	5417.97
127	5197.91	5579.23	5443.92	5417.97
129	5197.91	5579.23	5443.92	5417.97
131	5197.91	5579.23	5443.92	5417.97
133	5197.91	5579.23	5443.92	5417.97
135	5197.91	5579.23	5443.92	5417.97
137	5197.91	5579.23	5443.92	5417.97
139	5197.91	5579.23	5443.92	5417.97
141	5197.91	5579.23	5443.92	5417.97
143	5197.91	5579.23	5443.92	5417.97
145	5197.91	5579.23	5443.92	5417.97
147	5197.91	5579.23	5443.92	5417.97
149	5197.91	5579.23	5443.92	5417.97
151	5197.91	5579.23	5443.92	5417.97
153	5197.91	5579.23	5443.92	5417.97
155	5197.91	5579.23	5443.92	5417.97
157	5197.91	5579.23	5443.92	5417.97
159	5197.91	5579.23	5443.92	5417.97
161	5197.91	5579.23	5443.92	5417.97
163	5197.91	5579.23	5443.92	5417.97
165	5197.91	5579.23	5443.92	5417.97
167	5197.91	5579.23	5443.92	5417.97
169	5197.91	5579.23	5443.92	5417.97
171	5197.91	5579.23	5443.92	5417.97
173	5197.91	5579.23	5443.92	5417.97
174	5197.91	5579.23	5443.92	5417.97
175	5197.91	5579.23	5443.92	5417.97
176	5197.91	5579.23	5443.92	5417.97
177	5197.91	5579.23	5443.92	5417.97
178	5197.91	5579.23	5443.92	5417.97
179	5197.91	5579.23	5443.92	5417.97
180	5197.91	5579.23	5443.92	5417.97
181	5197.91	5579.23	5443.92	5417.97
182	5197.91	5579.23	5443.92	5417.97
183	5197.91	5579.23	5443.92	5417.97
184	5197.91	5579.23	5443.92	5417.97
186	5197.91	5579.23	5443.92	5417.97
188	5197.91	5579.23	5443.92	5417.97
189	5197.91	5579.23	5443.92	5417.97
189.00002	5197.91	5579.23	5443.92	5417.97
190	5279.74	5593.11	5475.97	5450.91
192	5359.76	5650.78	5532.83	5516.81
194	5389.35	5767.32	5587.29	5582.7
196	5464.27	5793.14	5630	5629.66
198	5517.58	5833.22	5674	5676.62
200	5579.9	5877.51	5719.16	5724.82
202	5628.69	5921.56	5764.81	5774.27
204	5654.35	6019.28	5817.26	5823.72
206	5694.37	6073.04	5866.41	5871.08
208	5717.51	6159.8	5914.21	5918.44
210	5750.97	6229.91	5958.82	5965.48
214	5806.22	6365.52	6051.71	6058.88
216	5857.15	6400.61	6099.54	6106.89
218	5886	6455.75	6146.38	6154.9
220	5927.28	6509.19	6194.72	6202.81
222	5968.22	6554.43	6247.95	6250.62
224	5994.98	6613.63	6297.31	6298.43
226	6051.38	6647.42	6345.74	6345.06
228	6088.9	6696.3	6392.46	6391.7
230	6136.89	6742.77	6438.91	6438.03
232	6187.74	6777.71	6485.58	6484.04
234	6225.32	6828.79	6533.73	6530.05
238	6329.23	6898.68	6627.23	6623.47
239	6348.24	6923.21	6650	6646.82
242	6441.66	6968.65	6718.86	6716.92
243	6461.06	6993.69	6742.62	6740.29
244	6481.58	7025.2	6766.06	6763.65
245	6513.86	7036.41	6786.12	6785.3
249	6613.59	7118.95	6874.1	6871.9
250	6636.11	7132.82	6890.31	6889.13
251	6656.62	7150.5	6908.41	6906.36
252	6675.48	7170.43	6924.34	6923.58
252.00002	6675.48	7170.43	6924.34	6923.58
253	6675.48	7170.43	6924.34	6923.58
255	6675.48	7170.43	6924.34	6923.58
256	6675.48	7170.43	6924.34	6923.58
256.00002	6675.48	7170.43	6924.34	6923.58
257	6688.1	7192.28	6941.55	6940.81
259	6731.87	7236.82	6977.22	6980.11
261	6773.14	7289.84	7021.24	7024.25
263	6802.71	7371.34	7063.25	7068.4
265	6859.64	7429.9	7121.53	7129.11
267	6898.09	7525.29	7182.21	7189.82
269	6946.92	7604.11	7243.76	7250.89
271	6999.45	7675.37	7305.99	7312.32
273	7034.79	7775.22	7364.63	7373.74
275	7098.12	7830.4	7426.29	7434.74
277	7138.94	7900.83	7488.36	7495.74
279	7197.41	7970.34	7546.79	7555.64
281	7252.88	8024.76	7608.12	7614.45
283	7289.3	8091	7665.69	7673.25
285	7363.34	8139.74	7725.88	7732.48
287	7412.93	8203.33	7789.09	7791.71
289	7482.66	8259.88	7850.24	7852.27
291	7555.32	8310.86	7910.57	7914.15
293	7600.63	8378.44	7972.22	7976.04
295	7708.76	8433.87	8028	8036.5
297	7774.86	8502.19	8087.55	8096.96
299	7862.69	8573.33	8154.46	8165.22
301	7940.29	8640.38	8229.9	8241.28
303	7991.1	8756.11	8300.66	8317.33
305	8063.65	8866	8395.89	8410.56
307	8105.97	9018.61	8482.98	8503.79
309	8164.57	9168.22	8567.47	8596.74
311	8223.29	9284.98	8664.56	8689.43
313	8270.25	9430.08	8758.23	8782.11
315	8352.6	9509.52	8853.26	8875.4
319	8458.8	9738.53	9044.88	9061.82
321	8526.61	9834.97	9142.91	9154.79
323	8576.2	9970.15	9236.77	9247.77
325	8661.67	10037.79	9339.94	9341.82
327	8722.32	10127.63	9439.28	9435.87
329	8794.32	10218.35	9538.04	9529.13
331	8863.76	10300.21	9642.57	9621.6
333	8907.32	10410.09	9738.65	9714.06
335	8990.46	10474.33	9847	9808.54
337	9050.59	10564.29	9955.08	9903.01
339	9121.78	10649.59	10050.82	9994.03
341	9192.39	10714.15	10147.92	10081.61
343	9251.22	10803.29	10240.45	10169.19
345	9309.57	10841.11	10305.78	10230.79
347	9362.68	10887.74	10372.95	10292.39
349	9421.88	10937.55	10430.43	10347.9
351	9467.81	10986.25	10480.32	10397.31
353	9510.21	11051.53	10527.09	10446.73
355	9551.94	11092.35	10568.98	10488.28
