KITE_Diatoms%,,,,SHCal20,,,,,,,,,,,Species %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHCal20,,,
Core,Core depth,Field depth,Strat depth (cm) includes 5 cm surface moss,depth,min,max,median,mean,Acc rate (cm yr-1) SHCal13 1 cm ,Dry mass (Imogen),wet density (g cm-3),Dry density (g cm-3),DMAR SH20 (g cm-2 yr-1),Tephra shards/g,Luticola cf muicopsis,Surirella sp.1,Naviciladicta semiulum/obsoleta,Stauroneis cf. acidoclinata,Planothidium quadripunctatum,Planothidium sp.1 ,Plnothidium sp. 2,Planothidium frequentisima?,Cavinula pseudoscutformis,Muelleria frenguelli,Pinnularia cf. divergens var. linearis,Navicula cf. libonensis,Gomphonema sp. 2 (long and thin),Fatter Gomphonema (pavulum?),Gomphonema sp3,Psammothidium abundans ,"Smaller
Psammothidium abundans ",Orthoseria roseana,Navicula gregaria,Amphora oligotraphenta,achnanthes exigua ,Hippodona hungaric,Staurosirella pinnata ,Pinnularia borealis,Achnanthes muelleri,Thinner achnanthes,Hanztchia amphioxys,Fragilaria capucina (both long and short),Nitzchia perminuta,"Nitzchia gracilis (longer, more bulbus ends)",Nitzchia inconspicua,Placoneis cf. elginesis,Brachysira minor,"Achnanthidium minutissimum (99, 5)",Calconeis cf bacillum ,Diatomella balfouriana ,Naviciladicta semiulum,avicula cf. obsoleta?,Craticula subpampeana,Diatom cyst Stauro circula,Planothidium delicatulum  ®,Staurosira cf venter,Luticola hilgeri,Luticola cf cohnii,Pinnularia gemella,Nitzchia tryblionella,Staurosirella inermis,Opephora martyi.,Nitzchia paleacea,Pinnularia sbantarctica var. elongata,chamaepinnularia gerlachei,stauroneis cf. subgracilior,Navicula cinta,Psammothidium germainii,Stauoforma intermedia ,Navicula australoshetlandica,Incartae sedis,Microcostatus cf. naumanni,chamaepinnularia australomediocris,Diatom conc g cm-1 x10-6,PCA Axis 1,PCA Axis 2,Cholorphyll-a,Diatom DMAR g cm-1 yr-1,DCCA Axis 1,depth,
Kite 2.1,1,1,6,6,-6.87,-1.69,-4.92,-4.71,0.00437,56.76114474,1.277496,0.792216,0.003463088,1055.70,0,0,0,0.5739,1.1478,1.1477,0.0000,2.4390,1.1477,1.1865,0.9325,1.1477,1.1477,1.7216,0.0000,26.1198,1.1477,0.0000,0.0000,0.5739,0.5739,2.0086,21.6642,0.0000,3.2998,0.0000,0.4304,2.5107,0.0000,0.0000,0.8608,0.8608,1.4347,7.3170,2.0081,0.0000,0.8608,0.8608,0.0000,0.0000,1.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.9135,-0.8652,0.0883,4.47918,0.048183674,0.2826,6,
Kite 2.1,2,2,7,7,158.89,279.27,227.37,224.05,0.00437,57.14932127,1.387702857,0.86216,0.003768841,656.66,0,0.1367,4.6779,0.6835,2.7341,0.2734,0.0000,3.9644,1.5038,0.5468,0.4786,0.8202,1.2303,0.5468,0.0000,26.2470,0.0000,0.0000,0.8202,0.0000,0.4101,2.0506,17.3616,0.2734,4.2379,0.0000,0.1360,1.0936,0.0000,0.8202,0.8202,0.0000,6.8535,5.3315,0.0000,0.5468,4.6470,0.1367,0.2734,1.0930,0.5469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.833,-0.9328,0.2444,2.80659,0.172737276,0.2191,7,
Kite 2.1,3,3,8,8,322.91,561.65,459.28,452.81,0.00437,59.96997977,1.47572,0.93732,0.004097395,629.46,0,0,0,0.0000,2.8500,0.8415,0.0000,2.3843,1.5420,0.5610,0.1403,0.0000,1.4025,0.2805,0.0000,35.3436,0.5610,0.0000,1.6830,0.0000,0.0000,0.7013,16.2692,0.0000,1.6830,0.0000,0.0000,3.2959,0.5610,0.0000,0.5610,0.0000,0.5610,14.5860,0.0000,0.5610,0.0000,1.6830,0.0000,0.0000,1.6830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.7101,-1.3235,0.095,3.50164,0.162707951,,8,
Kite 2.1,4,4,9,9,487.34,843.95,691.15,681.57,0.01651,59.11634839,1.38965,0.90785,0.014990918,753.99,0,0,1.0505,0.0000,4.4648,0.0000,0.0000,3.2830,2.6264,0.2626,0.1313,0.0000,1.4451,0.0000,0.0000,33.6178,0.0000,0.0000,0.2626,0.0000,1.0505,0.2626,24.6880,0.9192,2.1011,0.0000,0.0657,1.4451,0.0000,0.2626,0.5252,0.0000,9.9803,1.7072,0.0000,0.2626,0.2626,0.6565,0.2626,0.5252,1.7070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2626,1.5780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.4784,-1.005,-0.065,3.31155,1.116499594,0.2929,9,
Kite 2.1,5,5,10,10,622.7,875.59,741.99,742.13,0.03303,61.66401696,1.423225,0.930825,0.030740588,1406.00,0,0,0,0.0000,8.7766,1.0638,0.0000,1.7288,1.8617,0.3324,0.9973,0.2660,0.9309,0.0000,0.0000,25.4643,0.3989,0.2660,0.2659,0.2659,0.7978,1.2630,24.1350,0.0000,2.9255,0.0000,0.0000,1.5293,0.5319,0.0000,0.9973,0.0000,0.5319,8.8777,0.5319,0.8643,0.7978,1.5957,0.0000,0.0000,1.7287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.4867,-1.0902,0.1901,5.78998,0.844957316,0.1615,10,
Kite 2.1,6,6,11,11,675.96,897.12,766.79,772.41,0.00000,59.3996487,1.365582857,0.869582857,0,2127.02,0,0,0.5681,0.7102,1.9884,0.5682,0.0000,3.9773,1.8659,1.9880,0.4261,0.0000,0.8523,0.2841,0.0000,9.9432,0.0000,0.0000,0.0000,0.8522,2.1306,2.2727,39.3460,0.0000,1.4205,0.0000,0.1420,2.6988,0.5682,0.5682,0.5682,0.0000,4.5454,5.8237,0.4261,3.6925,0.8522,2.4147,0.9943,0.2841,3.2670,0.1420,0.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.9943,0.0000,0.0000,0.0000,0.2849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,11,
Kite 2.1,7,7,12,12,675.96,897.12,766.79,772.41,0.01835,58.19981545,1.289888,0.822608,0.015093725,1929.85,0,0,0,0.7407,4.5679,1.1111,0.4938,2.4074,2.5925,0.8025,0.3086,0.2469,2.4691,0.0000,0.0000,22.9629,0.9877,0.1234,0.2469,0.3704,1.5432,1.1111,28.9500,0.0000,3.7037,0.0000,0.0617,1.1358,0.3704,1.4815,1.2345,0.4933,4.0741,3.4567,0.0000,0.9255,0.4938,1.48148,0.06172,0.0000,1.6049,0.0000,0.0000,0.0000,0.0000,0.7407,0.0000,0.0000,1.4815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8359,-0.8338,0.1299,7.37529,0.450334863,0.3602,12,
Kite 2.1,8,8,13,13,717.85,972.97,817.93,826.91,0.01809,60.00266622,1.14884,0.75556,0.013667873,1378.03,0,0,0,0.2952,4.1328,1.8080,0.0000,5.4610,3.2472,0.8800,1.2546,1.8081,1.3284,0.2952,0.0000,19.9260,0.0000,0.2952,0.1476,0.7380,2.9520,1.1808,26.1255,0.0000,1.1808,0.0000,0.1476,1.0332,0.8856,0.2952,0.2952,0.0000,4.1328,4.5756,0.2952,4.4220,0.8856,0.2952,0.2952,1.4760,0.4428,0.0000,1.0332,0.0000,0.0000,2.3616,0.0000,0.4428,1.1808,0.0000,0.0000,0.0000,0.0000,0.2952,0.0000,0.0000,0.0000,0.0000,0.0000,24.9245,-0.3429,0.2523,5.59866,0.340664892,0.5103,13,
Kite 2.1,9,9,14,14,755.85,1062.51,871.47,882.19,0.02111,35.32893573,1.32464,0.878506667,0.018545634,710.42,0,0.06404,0,0.3908,4.2997,1.1726,0.0000,4.5603,2.4756,0.0000,1.2377,0.2605,0.5211,1.6565,0.0000,18.0650,0.7687,0.2562,0.0000,0.1922,0.2562,2.0496,22.4850,0.0000,4.4840,0.0000,0.6514,0.9609,0.9609,0.8968,0.7673,0.0000,3.0749,3.8436,0.2562,0.0000,0.5125,2.4983,0.06406,0.3714,3.4104,0.0000,0.2562,0.0000,0.0000,2.6905,0.0000,0.2562,0.5125,0.0000,0.0000,0.0000,0.0000,0.0000,0.2562,0.0000,0.0000,0.0000,0.0000,40.1257,-0.9185,0.0611,4.28862,0.744156533,0.3585,14,
Kite 2.1,10,10,15,15,785.89,1125.78,921.21,929.56,0.02111,60.91399126,1.40375,0.93425,0.019722398,527.71,0,0,1.4152,0.0000,1.6985,0.5662,0.0000,4.2463,4.8125,0.1415,0.2830,1.9815,1.6985,0.2803,0.0000,18.2590,0.2804,0.1415,0.4246,0.0000,0.9202,2.4062,23.7790,0.0000,0.5662,0.0000,0.0000,1.1323,0.8490,0.2804,0.5662,0.2831,7.2187,7.8485,0.7077,0.7077,0.5661,3.3970,0.0000,0.5662,4.8124,0.0000,0.1415,0.0000,0.0000,0.7077,0.0000,0.2830,3.1139,0.0000,0.0000,0.0000,0.2831,0.0000,0.0000,0.2831,0.2831,0.0000,0.0000,61.5884,-0.8317,0.4005,5.15683,1.214670946,0.4637,15,
